id,sku,name,current_category,current_subcategory,suggested_category,suggested_subcategory
d1a640af-fd66-4e58-8680-de35447c2e9e,15-655-00,"Drill Guide",Uncategorized,General,,
8c840688-4254-4a2e-adaf-999046cf4ff1,15-621-21,"Quick Connect blade positioner Handle",Uncategorized,General,,
b0d917cb-a585-4d39-83e2-4ea9e96aa154,15-648-12,"Distraction Pin A/B",Uncategorized,General,,
e44c7cd1-426a-42e8-abd1-11d09586bb73,15-597-40,"Lateral Serrated Blades",Uncategorized,General,,
b6a19f26-9206-422f-8ec2-c227f3ce1c24,15-615-40,"Medial Toothed Blades PEEK",Uncategorized,General,,
6b8dfa1c-2d8a-4d3f-815d-6af17fe11ac7,15-562-14,"St",Uncategorized,General,,
ac6a5bd5-8ed8-4c62-982a-0bc4399da33b,15-649-00,"Twist Drill",Uncategorized,General,,
29ec3690-39af-4bc6-84f6-d720155e9811,15-604-30,"Blunt Blades",Uncategorized,General,,
a20afb97-3ca9-4055-b571-30010a27f12f,15-639-50,"McCulloch 2-teeth Cervical Blades",Uncategorized,General,,
4ff3c412-b615-43e2-856d-14713195a267,15-623-40,"Lateral Serrated Blades",Uncategorized,General,,
c7c4d85e-1645-4e7a-af35-38fad59d7d6f,25-174-16,"Tobold Tongue Depressor",Uncategorized,General,,
20e50631-438b-4e8c-b6f6-b077f1e38d46,20-230-21,"20-230-21",Uncategorized,General,,
40716c70-30cf-44f3-8b50-700be358245c,25-134-00,"Neukam Mouth Gag",Uncategorized,General,,
921120f1-fcba-4ab0-bbb0-e8685bf4d4da,15-592-40,"Small Lateral Blades",Uncategorized,General,,
ada781a7-3e5d-4e2e-8bdf-80b0cc290847,15-654-00,"Twist Drill",Uncategorized,General,,
10a5ca15-aa33-4c4a-b021-ff663577908f,15-636-30,"McCulloch 2-teeth McCulloch 2-teeth",Uncategorized,General,,
761a513c-a9da-4afb-990c-2c4919dc8dfb,15-626-40,"Lateral Serrated Blades",Uncategorized,General,,
70cdb75d-2ec3-4868-9658-05b64ab9ee3e,15-616-40,"Lateral Serrated Blades",Uncategorized,General,,
17de0434-d7d9-4590-a549-bcffe6980194,15-598-45,"Blunt Blades",Uncategorized,General,,
417846c0-e48e-43a4-9ed6-52f3edeade11,25-176-01,"Wieder Tongue Depressor",Uncategorized,General,,
d957d9bc-9a47-478e-b6bc-e07d09b95774,25-172-15,"Tobold Tongue Depressor",Uncategorized,General,,
eb73f095-cac0-4fc5-87c9-a2f4dff3fd13,15-593-40,"Lateral Serrated Blades",Uncategorized,General,,
d52a567b-482d-451e-a581-0f25a6e3807d,15-651-00,"Screw Driver",Uncategorized,General,,
dc8d1098-0a9d-4621-b7c6-cbb34c08e27b,15-614-40,"Blunt Blades PEEK",Uncategorized,General,,
4b847fcc-52c4-4c2a-adac-d1b18d50912b,15-606-25,"Lateral Serrated Blades",Uncategorized,General,,
1f7a0226-5083-4257-8314-117cdbc2ad61,15-567-14,"St",Uncategorized,General,,
6082ac4c-ae5c-4701-b659-d1f68fd0c01d,15-591-35,"Medial Toothed Blades",Uncategorized,General,,
b31b1ca4-92c8-467e-afcc-6a6cc8a9cf05,15-120-00,"Kolner Scalp Clip",Uncategorized,General,,
40f44549-a0cb-4262-8f1c-9302fff89b60,15-111-00,"Crutchfield Skull Traction Tong",Uncategorized,General,,
a0c7e72d-0921-40ed-9411-da5c177b9e54,14-512-14,"Intima Spatul",Uncategorized,General,,
127d50b5-2fa7-485c-a6b6-64dba4169dcd,25-130-16,"Roser-Konig Mouth Gag",Uncategorized,General,,
2600f2d7-4a12-41b0-b336-e9acb87623ba,25-124-13,"Molt Mouth Gag",Uncategorized,General,,
4aef0f3e-39b1-4a9a-847b-de266effcba1,25-126-13,"Denhart Mouth Gag",Uncategorized,General,,
63c3e1af-eec8-4d34-8fa5-a9abe86c8750,25-122-10,"Molt Mouth Gag",Uncategorized,General,,
f54ad57d-f134-487a-ba6b-8547b6590b2f,25-112-50,"Adams Napkin holder",Uncategorized,General,,
